home_team,away_team,home_score,away_score,both_teams_scored
Vörös Ördögök,Everton,2,0,False
Fulham,Manchester Kék,0,0,False
Brighton,Liverpool,0,1,False
Chelsea,Crystal Palace,1,3,True
Nottingham,Brentford,0,1,False
London Ágyúk,Tottenham,0,1,False
Wolverhampton,Newcastle,1,0,False
Aston Oroszlán,West Ham,0,1,False
Crystal Palace,Nottingham,0,0,False
Liverpool,Wolverhampton,1,0,False
Everton,London Ágyúk,0,2,False
West Ham,Manchester Kék,0,3,False
Brighton,Fulham,0,0,False
Newcastle,Chelsea,0,2,False
Tottenham,Aston Oroszlán,2,0,False
Brentford,Vörös Ördögök,0,0,False
Nottingham,Newcastle,1,0,False
Manchester Kék,Tottenham,1,0,False
London Ágyúk,Brentford,2,0,False
Wolverhampton,Brighton,1,2,True
Fulham,West Ham,0,1,False
Vörös Ördögök,Crystal Palace,1,0,False
Aston Oroszlán,Everton,0,0,False
Chelsea,Liverpool,2,1,True
Brentford,Aston Oroszlán,1,0,False
Wolverhampton,Fulham,1,0,False
Crystal Palace,London Ágyúk,0,0,False
Liverpool,Nottingham,2,0,False
Newcastle,Vörös Ördögök,1,1,True
Everton,Manchester Kék,0,1,False
Tottenham,West Ham,0,0,False
Brighton,Chelsea,0,2,False
Aston Oroszlán,Crystal Palace,0,1,False
Chelsea,Wolverhampton,2,0,False
West Ham,Everton,1,0,False
Manchester Kék,Brentford,0,1,False
Fulham,Tottenham,1,3,True
Nottingham,Brighton,1,0,False
London Ágyúk,Newcastle,0,3,False
Vörös Ördögök,Liverpool,1,1,True
Liverpool,London Ágyúk,0,0,False
Brentford,West Ham,3,1,True
Chelsea,Fulham,1,0,False
Newcastle,Aston Oroszlán,2,0,False
Crystal Palace,Manchester Kék,0,1,False
Everton,Tottenham,0,0,False
Brighton,Vörös Ördögök,1,2,True
Wolverhampton,Nottingham,1,0,False
London Ágyúk,Brighton,0,0,False
Vörös Ördögök,Wolverhampton,1,0,False
Manchester Kék,Newcastle,1,1,True
Nottingham,Chelsea,1,2,True
Fulham,Everton,0,0,False
Tottenham,Brentford,1,0,False
Aston Oroszlán,Liverpool,1,0,False
West Ham,Crystal Palace,0,0,False
Newcastle,West Ham,0,0,False
Chelsea,Vörös Ördögök,1,0,False
Liverpool,Manchester Kék,0,1,False
Crystal Palace,Tottenham,1,1,True
Brentford,Everton,0,0,False
Wolverhampton,London Ágyúk,1,0,False
Brighton,Aston Oroszlán,1,1,True
Nottingham,Fulham,2,0,False
Aston Oroszlán,Wolverhampton,1,0,False
Manchester Kék,Brighton,0,0,False
Everton,Crystal Palace,1,0,False
West Ham,Liverpool,0,1,False
Vörös Ördögök,Nottingham,1,0,False
London Ágyúk,Chelsea,2,1,True
Tottenham,Newcastle,0,0,False
Fulham,Brentford,1,1,True
Liverpool,Tottenham,1,1,True
Wolverhampton,Manchester Kék,0,0,False
Crystal Palace,Brentford,2,0,False
Brighton,West Ham,2,1,True
Chelsea,Aston Oroszlán,0,0,False
Vörös Ördögök,Fulham,0,0,False
Newcastle,Everton,0,2,False
Nottingham,London Ágyúk,1,0,False
Manchester Kék,Chelsea,1,0,False
London Ágyúk,Vörös Ördögök,0,0,False
West Ham,Wolverhampton,0,0,False
Aston Oroszlán,Nottingham,0,0,False
Tottenham,Brighton,2,0,False
Fulham,Crystal Palace,3,0,False
Everton,Liverpool,1,1,True
Brentford,Newcastle,1,1,True
Brighton,Everton,2,2,True
Liverpool,Brentford,2,0,False
London Ágyúk,Fulham,2,0,False
Wolverhampton,Tottenham,0,2,False
Newcastle,Crystal Palace,1,0,False
Nottingham,Manchester Kék,1,1,True
Vörös Ördögök,Aston Oroszlán,2,0,False
Chelsea,West Ham,1,0,False
West Ham,Nottingham,0,1,False
Everton,Wolverhampton,1,1,True
Manchester Kék,Vörös Ördögök,1,1,True
Brentford,Brighton,1,2,True
Aston Oroszlán,London Ágyúk,1,1,True
Crystal Palace,Liverpool,1,0,False
Fulham,Newcastle,1,0,False
Tottenham,Chelsea,0,1,False
Wolverhampton,Brentford,1,0,False
Nottingham,Tottenham,0,0,False
London Ágyúk,Manchester Kék,1,1,True
Liverpool,Newcastle,1,2,True
Vörös Ördögök,West Ham,2,0,False
Chelsea,Everton,2,1,True
Aston Oroszlán,Fulham,0,0,False
Brighton,Crystal Palace,1,0,False
Tottenham,Vörös Ördögök,0,1,False
Newcastle,Brighton,0,1,False
Fulham,Liverpool,0,0,False
Manchester Kék,Aston Oroszlán,0,0,False
Crystal Palace,Wolverhampton,1,0,False
Everton,Nottingham,0,0,False
Brentford,Chelsea,0,0,False
West Ham,London Ágyúk,0,2,False
Everton,Vörös Ördögök,1,1,True
Manchester Kék,Fulham,1,1,True
Liverpool,Brighton,1,0,False
Crystal Palace,Chelsea,0,0,False
Brentford,Nottingham,1,0,False
Tottenham,London Ágyúk,0,2,False
Newcastle,Wolverhampton,1,1,True
West Ham,Aston Oroszlán,0,0,False
Nottingham,Crystal Palace,2,1,True
Wolverhampton,Liverpool,0,0,False
